		iphone		code		internet 	phone		network		samsung		computer 	device		program		digital		engine			gas	 	vehicle		auto			oil	 		car	 	fast		road		wheel		tire		hockey		football 	golf		soccer		basketball 	baseball 	play		sport			run	 	kick	
Tech1       1           0           0           0           3           0           2           0           0           0           0           0           0           6           0           3           2           2           0           0           0           0           0           0           0           0           1           0           3           0           
Tech2       62          0           0           0           4           0           2           0           0           4           0           0           0           6           0           3           2           0           0           0           0           0           0           0           0           2           0           0           0           0           
Tech3       0           0           6           0           12          0           12          0           0           0           0           10          1           1           54          2           0           0           0           0           0           0           0           0           0           0           0           1           0           0           
Tech4       0           0           1           0           0           0           5           0           0           0           0           0           1           1           0           0           0           0           0           0           0           0           0           0           0           0           0           1           0           0           
Tech5       0           0           1           0           0           0           0           0           0           0           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           1           0           0           
Tech6       2           6           0           6           0           0           0           0           5           0           0           0           0           1           0           2           0           0           0           0           0           0           0           0           0           0           0           1           0           0           
Tech7       3           9           2           2           0           10          0           3           0           5           0           0           4           19          0           8           0           0           0           0           0           2           0           1           1           5           0           0           0           0           
Tech8       0           9           2           2           0           0           0           3           1           1           0           16          0           18          4           12          0           0           0           0           0           2           0           1           1           1           0           0           0           0           
Tech9       0           9           2           2           0           0           0           3           10          1           5           0           3           19          0           0           0           0           0           0           0           2           0           1           1           1           0           0           0           0           
Tech10      0           9           2           2           0           0           0           3           0           5           0           0           4           19          0           8           0           0           0           0           0           2           0           1           1           5           0           0           0           0           
Cars1       0           0           0           0           0           0           0           0           0           3           0           0           0           7           0           2           0           1           0           0           0           0           2           0           0           0           0           2           0           0           
Cars2       1           0           0           0           0           0           0           0           0           0           9           6           45          4           3           88          1           12          2           0           0           0           0           0           0           0           0           2           6           0           
Cars3       0           0           0           0           0           0           0           0           0           0           1           2           1           1           0           4           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
Cars4       0           0           0           0           0           0           0           0           0           3           0           0           0           9           0           4           0           1           0           0           0           0           0           0           0           0           0           0           0           0           
Cars5       0           0           0           0           0           0           0           0           0           3           0           0           2           9           0           2           0           1           8           15          0           0           0           0           0           0           0           0           0           0           
Cars6       0           0           0           0           0           0           0           0           0           3           0           0           0           9           0           2           0           1           0           0           0           0           0           0           0           0           0           0           0           0           
Cars7       0           0           0           0           0           0           0           0           0           3           2           0           0           9           0           2           0           1           0           0           0           0           0           0           0           0           0           0           0           0           
Cars8       0           0           0           0           0           0           0           0           0           3           2           0           1           5           0           3           0           1           0           1           0           0           0           0           0           0           0           0           0           0           
Cars9       0           0           0           0           0           0           0           0           0           3           0           0           6           24          0           2           0           1           0           0           0           0           0           0           0           0           0           0           2           0           
Cars10      0           0           0           0           0           0           0           0           0           3           0           0           14          7           0           9           0           1           0           0           0           0           0           0           0           0           0           0           0           0           
Sports1     0           8           1           0           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           11          0           0           6           0           0           
Sports2     0           8           1           0           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           2           0           7           0           0           4           0           3           16          
Sports3     0           8           1           0           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
Sports4     0           8           1           1           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           12          0           0           0           0           0           0           1           0           
Sports5     0           8           1           0           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
Sports6     0           8           1           0           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           8           0           28          0           0           1           0           0           0           
Sports7     0           8           3           0           0           0           0           2           0           0           0           0           0           0           0           0           0           0           0           0           0           3           0           0           3           0           0           0           0           0           
Sports8     0           8           1           0           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           6           0           1           0           0           0           0           0           0           
Sports9     0           8           1           0           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           21          0           1           2           0           0           
Sports10    0           8           1           0           0           0           0           1           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           9           0           4           2           0           0           
